form_name,form_subtype,office_code,publication_date,form_note_en,form_note_es,range_upper,range_upper_unit,range_lower,range_lower_unit,service_request_date,subtype_info_en,subtype_info_es
I-130,134B-F41,NSC,"March 23, 2023",NA,NA,37.5,Months,21,Months,"February 16, 2020",U.S. citizen filing for a brother or sister,Petición de un ciudadano de EE.UU. para un hermano o una hermana
I-130,134B-F41,YSC,"March 23, 2023",NA,NA,38.5,Months,36,Months,"January 24, 2020",U.S. citizen filing for a brother or sister,Petición de un ciudadano de EE.UU. para un hermano o una hermana
I-130,134B-F41,SSC,"March 23, 2023",NA,NA,43,Months,42.5,Months,"September 11, 2019",U.S. citizen filing for a brother or sister,Petición de un ciudadano de EE.UU. para un hermano o una hermana
I-130,134B-F41,ESC,"March 23, 2023",NA,NA,123.5,Months,114,Months,"December 27, 2012",U.S. citizen filing for a brother or sister,Petición de un ciudadano de EE.UU. para un hermano o una hermana
I-130,134B-F41,FOD,"March 23, 2023",NA,NA,51,Months,32.5,Months,"December 28, 2018",U.S. citizen filing for a brother or sister,Petición de un ciudadano de EE.UU. para un hermano o una hermana
I-131,141A-RT,NSC,"March 23, 2023",NA,NA,21.5,Months,17,Months,"June 13, 2021",Re-entry permit or refugee travel document,Permiso de reingreso o documento de viaje de refugiado
I-131,141B-OTH,CSC,"March 23, 2023",NA,NA,17.5,Months,15.5,Months,"October 19, 2021",Advance parole,Permiso adelantado de viaje
I-131,141B-OTH,NBC,"March 23, 2023",NA,NA,14,Months,11.5,Months,"February 01, 2022",Advance parole,Permiso adelantado de viaje
I-131,141B-OTH,NSC,"March 23, 2023",NA,NA,15,Months,11.5,Months,"January 02, 2022",Advance parole,Permiso adelantado de viaje
I-131,141B-OTH,SSC,"March 23, 2023",NA,NA,19.5,Months,17,Months,"August 13, 2021",Advance parole,Permiso adelantado de viaje
I-131,141B-OTH,ESC,"March 23, 2023",NA,NA,14.5,Months,8,Months,"January 17, 2022",Advance parole,Permiso adelantado de viaje
I-140,136A-E11,NSC,"March 23, 2023",NA,NA,24,Months,21,Months,"March 31, 2021",Extraordinary ability (E11),Capacidad extraordinaria (E11)
I-140,136A-E11,SSC,"March 23, 2023",NA,NA,31.5,Months,23,Months,"August 16, 2020",Extraordinary ability (E11),Capacidad extraordinaria (E11)
I-140,136A-E12,NSC,"March 23, 2023",NA,NA,16,Months,11,Months,"November 30, 2021",Outstanding professor or researcher (E12),Profesor o investigador excepcional (E12)
I-140,136A-E12,SSC,"March 23, 2023",NA,NA,14.5,Months,8,Months,"January 14, 2022",Outstanding professor or researcher (E12),Profesor o investigador excepcional (E12)
I-140,136A-E13,NSC,"March 23, 2023",NA,NA,15.5,Months,9.5,Months,"December 20, 2021",Multinational executive or manager (E13),Ejecutivo o gerente multinacional (E13)
I-140,136A-E13,SSC,"March 23, 2023",NA,NA,20,Months,12,Months,"August 10, 2021",Multinational executive or manager (E13),Ejecutivo o gerente multinacional (E13)
I-140,136A-E21,NSC,"March 23, 2023",NA,NA,9.5,Months,5,Months,"June 22, 2022",Advanced degree or exceptional ability (E21),Grado avanzado o capacidad excepcional (E21)
I-140,136A-E21,SSC,"March 23, 2023",NA,NA,13,Months,7.5,Months,"March 09, 2022",Advanced degree or exceptional ability (E21),Grado avanzado o capacidad excepcional (E21)
I-140,136A-E31,NSC,"March 23, 2023",NA,NA,17,Months,7.5,Months,"November 11, 2021",Skilled worker or professional (E31; E32),Trabajador calificado o profesional (E31; E32)
I-140,136A-E31,SSC,"March 23, 2023",NA,NA,24.5,Months,22,Months,"March 26, 2021",Skilled worker or professional (E31; E32),Trabajador calificado o profesional (E31; E32)
I-140,136A-EW3,NSC,"March 23, 2023",NA,NA,13,Months,5,Months,"March 05, 2022",Unskilled worker (EW3),Trabajador no calificado (EW3)
I-140,136A-EW3,SSC,"March 23, 2023",NA,NA,32,Months,14.5,Months,"August 11, 2020",Unskilled worker (EW3),Trabajador no calificado (EW3)
I-140,136A-NIW,NSC,"March 23, 2023",NA,NA,19.5,Months,14,Months,"August 17, 2021",Advanced degree or exceptional ability requesting a National Interest Waiver (NIW),"[Persona o Personas] con Certificado de Estudios Superiores o con capacidad excepcional, que solicita(n) una Exención en Razón a Interés Nacional [National Interest Waiver (NIW)]"
I-140,136A-NIW,SSC,"March 23, 2023",NA,NA,27,Months,14.5,Months,"January 06, 2021",Advanced degree or exceptional ability requesting a National Interest Waiver (NIW),"[Persona o Personas] con Certificado de Estudios Superiores o con capacidad excepcional, que solicita(n) una Exención en Razón a Interés Nacional [National Interest Waiver (NIW)]"
I-140,136A-NUR,NSC,"March 23, 2023",NA,NA,15.5,Months,9,Months,"December 18, 2021",Schedule A Nurses,Enfermeras de la Lista A [de conformidad con I-136A]
I-140,136A-NUR,SSC,"March 23, 2023",NA,NA,9,Months,5.5,Months,"July 03, 2022",Schedule A Nurses,Enfermeras de la Lista A [de conformidad con I-136A]
I-212,144B,NSC,"March 23, 2023",NA,NA,39,Months,26,Months,"December 31, 2019",Permission to reapply for admission after deportation and removal,Permiso para volver a solicitar admisión después de deportación o remoción
I-212,144B,FOD,"March 23, 2023",NA,NA,39,Months,21.5,Months,"January 06, 2020",Permission to reapply for admission after deportation and removal,Permiso para volver a solicitar admisión después de deportación o remoción
I-360,135B,CSC,"March 23, 2023",NA,NA,25.5,Months,17,Months,"February 21, 2021",All other special immigrants,Todos los otros inmigrantes especiales
I-360,135B,NSC,"March 23, 2023",NA,NA,26,Months,17,Months,"February 02, 2021",All other special immigrants,Todos los otros inmigrantes especiales
I-360,135B,ESC,"March 23, 2023",NA,NA,20,Months,13.5,Months,"August 09, 2021",All other special immigrants,Todos los otros inmigrantes especiales
I-360,135C,ESC,"March 23, 2023",NA,NA,41.5,Months,33,Months,"October 24, 2019",Violence Against Women Act (VAWA),Ley sobre la Violencia Contra la Mujer(VAWA)
I-360,135D-RW,CSC,"March 23, 2023",NA,NA,25,Months,10.5,Months,"March 09, 2021",Religious workers,Trabajadores religiosos
I-360,135E,NSC,"March 23, 2023",NA,NA,12,Months,7.5,Months,"April 04, 2022",Afghan or Iraqi Translators and Afghan or Iraqi nationals who worked for on or behalf of the U.S. government,Traductores afganos o iraquíes o nacionales afganos o iraquías que trabajaron a para el Gobierno de Estados Unidos o a nombre de este
I-407,407,EFC,"March 23, 2023",NA,NA,2.5,Months,2,Months,"January 22, 2023",Record of Abandonment of Lawful Permanent Resident Status,Registro de Abandono de Estatus de Residente Permanente Legal
I-485,131A,CSC,"March 23, 2023",NA,NA,31.5,Months,30,Months,"August 13, 2020",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,NSC,"March 23, 2023",NA,NA,47,Months,26.5,Months,"May 01, 2019",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,SSC,"March 23, 2023",NA,NA,71.5,Months,50.5,Months,"April 22, 2017",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,AGA,"March 23, 2023",NA,NA,25.5,Months,17,Months,"February 11, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,ALB,"March 23, 2023",NA,NA,27.5,Months,22,Months,"December 19, 2020",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,ABQ,"March 23, 2023",NA,NA,29,Months,25,Months,"November 03, 2020",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,ANC,"March 23, 2023",NA,NA,19.5,Months,10.5,Months,"August 17, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,ATL,"March 23, 2023",NA,NA,36,Months,23,Months,"April 04, 2020",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,BAL,"March 23, 2023",NA,NA,39,Months,25.5,Months,"January 06, 2020",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,BOI,"March 23, 2023",NA,NA,25,Months,16,Months,"February 26, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,BOS,"March 23, 2023",NA,NA,26,Months,19.5,Months,"February 07, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,BNY,"March 23, 2023",NA,NA,26,Months,18,Months,"February 08, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,BUF,"March 23, 2023",NA,NA,25,Months,18.5,Months,"March 03, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,STA,"March 23, 2023",NA,NA,23,Months,16.5,Months,"May 07, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,CHL,"March 23, 2023",NA,NA,32,Months,23.5,Months,"August 10, 2020",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,CHA,"March 23, 2023",NA,NA,25,Months,18,Months,"March 04, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,CLT,"March 23, 2023",NA,NA,36,Months,25,Months,"April 12, 2020",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,CHI,"March 23, 2023",NA,NA,28,Months,22.5,Months,"December 05, 2020",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,CHR,"March 23, 2023",NA,NA,29,Months,22,Months,"November 07, 2020",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,CIN,"March 23, 2023",NA,NA,25,Months,20,Months,"March 03, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,CLE,"March 23, 2023",NA,NA,24,Months,16.5,Months,"April 08, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,CLM,"March 23, 2023",NA,NA,25.5,Months,20,Months,"February 23, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,DAL,"March 23, 2023",NA,NA,40.5,Months,26,Months,"November 23, 2019",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,DEN,"March 23, 2023",NA,NA,26.5,Months,22,Months,"January 15, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,DSM,"March 23, 2023",NA,NA,21.5,Months,10.5,Months,"June 18, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,DET,"March 23, 2023",NA,NA,24.5,Months,21,Months,"March 26, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,ELP,"March 23, 2023",NA,NA,26,Months,22,Months,"January 27, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,OFM,"March 23, 2023",NA,NA,26.5,Months,22,Months,"January 21, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,FSA,"March 23, 2023",NA,NA,24,Months,18.5,Months,"March 31, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,FRE,"March 23, 2023",NA,NA,25.5,Months,19.5,Months,"February 25, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,GRR,"March 23, 2023",NA,NA,23.5,Months,14,Months,"April 20, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,HLG,"March 23, 2023",NA,NA,12,Months,8,Months,"April 02, 2022",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,HAR,"March 23, 2023",NA,NA,25,Months,21,Months,"March 04, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,HEL,"March 23, 2023",NA,NA,23.5,Months,9.5,Months,"April 14, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,HIA,"March 23, 2023",NA,NA,27,Months,21.5,Months,"December 28, 2020",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,HHW,"March 23, 2023",NA,NA,14.5,Months,5,Months,"January 19, 2022",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,HOU,"March 23, 2023",NA,NA,52.5,Months,29,Months,"November 13, 2018",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,IMP,"March 23, 2023",NA,NA,24,Months,13,Months,"April 04, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,INP,"March 23, 2023",NA,NA,25,Months,18,Months,"March 04, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,JAC,"March 23, 2023",NA,NA,25.5,Months,18.5,Months,"February 19, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,KAN,"March 23, 2023",NA,NA,25,Months,20,Months,"March 11, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
I-485,131A,KND,"March 23, 2023",NA,NA,25.5,Months,21.5,Months,"February 22, 2021",Employment-Based adjustment applications,Solicitudes de Modificación Migratoria Basadas en el Empleo
